date,equity
2025-02-26,99960.28
2025-02-27,99960.28
2025-02-28,99960.28
2025-03-03,99960.28
2025-03-04,99960.28
2025-03-05,99984.79
2025-03-06,99923.29
2025-03-07,99912.67
2025-03-10,99825.98
2025-03-11,99788.11
2025-03-12,99838.67
2025-03-13,99796.51
2025-03-14,99840.98
2025-03-17,99840.98
2025-03-18,99840.98
2025-03-19,99840.98
2025-03-20,99840.98
2025-03-21,99840.98
2025-03-24,99840.98
2025-03-25,99840.98
2025-03-26,99840.98
2025-03-27,99840.98
2025-03-28,99840.98
2025-03-31,99840.98
2025-04-01,99840.98
2025-04-02,99840.98
2025-04-03,99840.98
2025-04-04,99635.96
2025-04-07,99486.35
2025-04-08,99279.78
2025-04-09,99203.61
2025-04-10,99203.61
2025-04-11,99203.61
2025-04-14,99203.61
2025-04-15,99203.61
2025-04-16,99203.61
2025-04-17,99203.61
2025-04-21,99203.61
2025-04-22,99288.86
2025-04-23,99380.44
2025-04-24,99380.44
2025-04-25,99380.44
2025-04-28,99380.44
2025-04-29,99380.44
2025-04-30,99380.44
2025-05-01,99380.44
2025-05-02,99380.44
2025-05-05,99380.44
2025-05-06,99380.44
2025-05-07,99380.44
2025-05-08,99380.44
2025-05-09,99380.44
2025-05-12,99380.44
2025-05-13,99380.44
2025-05-14,99380.44
2025-05-15,99380.44
2025-05-16,99380.44
2025-05-19,99380.44
2025-05-20,99380.44
2025-05-21,99380.44
2025-05-22,99382.9
2025-05-23,99317.11
2025-05-27,99317.11
2025-05-28,99317.11
2025-05-29,99317.11
2025-05-30,99317.11
2025-06-02,99317.11
2025-06-03,99317.11
2025-06-04,99317.11
2025-06-05,99317.11
2025-06-06,99317.11
2025-06-09,99317.11
2025-06-10,99317.11
2025-06-11,99317.11
2025-06-12,99317.11
2025-06-13,99317.11
2025-06-16,99335.34
2025-06-17,99307.21
2025-06-18,99307.21
2025-06-20,99307.21
2025-06-23,99307.21
2025-06-24,99307.21
2025-06-25,99307.21
2025-06-26,99307.21
2025-06-27,99307.21
2025-06-30,99307.21
2025-07-01,99307.21
2025-07-02,99307.21
2025-07-03,99307.21
